flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_N,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
A,2019-05-17 11:05:00,U6,1,D,3,SVX,320,160,130,
D,2019-05-17 06:00:00,SU,2,D,1,LED,SU9,87,77,
D,2019-05-17 19:15:00,U6,2,D,3,SIP,320,160,129,
A,2019-05-17 09:35:00,SU,3,D,1,LED,SU9,87,73,
D,2019-05-17 06:55:00,SU,6,D,1,LED,73H,158,140,
A,2019-05-17 10:40:00,SU,7,D,1,LED,73H,158,147,
D,2019-05-17 08:20:00,SU,10,D,1,LED,32A,158,152,
A,2019-05-17 12:00:00,SU,11,D,1,LED,32A,158,145,
D,2019-05-17 09:40:00,SU,12,D,1,LED,73H,158,146,
A,2019-05-17 13:25:00,SU,13,D,1,LED,73H,158,138,
D,2019-05-17 10:55:00,SU,14,D,1,LED,32A,158,142,
A,2019-05-17 14:40:00,SU,15,D,1,LED,32A,158,141,
D,2019-05-17 11:30:00,SU,16,D,1,LED,73H,158,130,
A,2019-05-17 15:10:00,SU,17,D,1,LED,73H,158,145,
D,2019-05-17 12:25:00,SU,18,D,1,LED,73H,158,135,
A,2019-05-17 16:25:00,SU,19,D,1,LED,73H,158,150,
D,2019-05-17 13:35:00,SU,20,D,1,LED,32A,158,156,
A,2019-05-17 17:20:00,SU,21,D,1,LED,32A,158,156,
D,2019-05-17 15:20:00,SU,22,D,1,LED,32A,158,147,
A,2019-05-17 19:00:00,SU,23,D,1,LED,32A,158,157,
D,2019-05-17 17:10:00,SU,24,D,1,LED,32A,158,156,
A,2019-05-17 20:50:00,SU,25,D,1,LED,32A,158,155,
D,2019-05-17 18:15:00,SU,26,D,1,LED,32A,158,149,
A,2019-05-17 22:00:00,SU,27,D,1,LED,32A,158,156,
D,2019-05-17 19:40:00,SU,28,D,1,LED,73H,158,147,
A,2019-05-17 23:45:00,SU,29,D,1,LED,73H,158,153,
D,2019-05-17 20:30:00,SU,30,D,1,LED,73H,158,153,
A,2019-05-17 00:25:00,SU,31,D,1,LED,73H,158,97,
D,2019-05-17 21:00:00,SU,32,D,1,LED,32A,158,152,
A,2019-05-17 07:20:00,SU,33,D,1,LED,32A,158,126,
D,2019-05-17 23:15:00,SU,34,D,1,LED,32A,158,149,
A,2019-05-17 06:25:00,SU,35,D,1,LED,32A,158,105,
D,2019-05-17 01:30:00,SU,36,D,1,LED,32A,158,127,
A,2019-05-17 05:05:00,SU,37,D,1,LED,32A,158,84,
D,2019-05-17 16:25:00,SU,38,D,1,LED,32A,158,148,
A,2019-05-17 20:00:00,SU,39,D,1,LED,32A,158,127,
D,2019-05-17 11:55:00,SU,42,D,1,LED,32A,158,147,
A,2019-05-17 15:35:00,SU,43,D,1,LED,32A,158,150,
D,2019-05-17 21:30:00,SU,44,D,1,LED,32A,158,139,
A,2019-05-17 01:10:00,SU,45,D,1,LED,32A,158,59,
D,2019-05-17 00:40:00,SU,46,D,1,LED,73H,158,155,
A,2019-05-17 08:30:00,SU,47,D,1,LED,73H,158,137,
D,2019-05-17 09:20:00,SU,100,I,3,JFK,77W,402,324,
A,2019-05-17 06:25:00,SU,101,I,3,JFK,77W,402,344,
D,2019-05-17 14:15:00,SU,102,I,3,JFK,77W,402,191,
A,2019-05-17 11:45:00,SU,103,I,3,JFK,77W,402,368,
A,2019-05-17 07:40:00,SU,105,I,3,IAD,333,296,254,
D,2019-05-17 12:00:00,SU,106,I,3,LAX,77W,402,217,
A,2019-05-17 13:50:00,SU,107,I,3,LAX,77W,402,363,
D,2019-05-17 11:00:00,SU,110,I,3,MIA,332,229,130,
D,2019-05-17 19:40:00,SU,122,I,3,JFK,333,296,119,
D,2019-05-17 07:00:00,N4,123,D,3,SIP,73H,189,139,
A,2019-05-17 17:20:00,SU,123,I,3,JFK,333,296,273,
A,2019-05-17 13:10:00,N4,124,D,3,SIP,73H,189,145,
D,2019-05-17 16:05:00,N4,133,D,3,SIP,73H,189,165,
A,2019-05-17 22:25:00,N4,134,D,3,SIP,73H,189,144,
D,2019-05-17 18:20:00,N4,147,D,3,LED,73H,189,172,
A,2019-05-17 22:05:00,N4,148,D,3,LED,73H,189,180,
D,2019-05-17 07:10:00,SU,150,I,3,HAV,332,229,100,
A,2019-05-17 08:00:00,D2,151,D,3,CEE,SU9,100,34,
A,2019-05-17 09:00:00,SU,151,I,3,HAV,332,229,191,
D,2019-05-17 09:05:00,D2,152,D,3,CEE,SU9,100,40,
A,2019-05-17 20:55:00,D2,153,D,3,CEE,SU9,100,80,
D,2019-05-17 21:55:00,D2,154,D,3,CEE,SU9,100,58,
D,2019-05-17 19:50:00,N4,161,D,3,KRR,73H,189,178,
A,2019-05-17 13:30:00,D2,163,D,3,KVK,CR2,50,30,
D,2019-05-17 14:20:00,D2,164,D,3,KVK,CR2,50,49,
A,2019-05-17 16:15:00,D2,165,D,3,CEE,CR2,50,29,
D,2019-05-17 17:50:00,N4,165,D,3,KZN,73H,189,144,
D,2019-05-17 17:15:00,D2,166,D,3,CEE,CR2,50,20,
D,2019-05-17 13:30:00,EO,167,D,3,LED,E90,110,110,
A,2019-05-17 16:55:00,EO,168,D,3,LED,E90,110,88,
D,2019-05-17 23:30:00,EO,173,D,3,SVX,73H,189,168,
A,2019-05-17 05:35:00,EO,174,D,3,SVX,73H,189,145,
D,2019-05-17 07:15:00,N4,177,D,3,LED,73H,189,176,
A,2019-05-17 10:50:00,N4,178,D,3,LED,73H,189,162,
D,2019-05-17 23:35:00,EO,179,D,3,CEK,E90,110,109,
A,2019-05-17 05:45:00,EO,180,D,3,CEK,73H,189,99,
D,2019-05-17 08:40:00,N4,183,D,3,MRV,73H,189,91,
A,2019-05-17 14:25:00,N4,184,D,3,MRV,73H,189,126,
D,2019-05-17 23:45:00,EO,185,D,3,KZN,E90,110,95,
A,2019-05-17 06:10:00,EO,186,D,3,KZN,E90,110,84,
D,2019-05-17 12:25:00,EO,187,D,3,ROV,E90,110,96,
A,2019-05-17 17:10:00,EO,188,D,3,ROV,E90,110,99,
D,2019-05-17 23:55:00,EO,189,D,3,NBC,E90,110,72,
A,2019-05-17 08:50:00,EO,190,D,3,NBC,E90,110,108,
D,2019-05-17 15:00:00,N4,191,I,2,UGC,73H,189,80,
A,2019-05-17 23:50:00,N4,192,I,2,UGC,73H,189,140,
D,2019-05-17 23:45:00,EO,197,D,3,LED,E90,110,102,
A,2019-05-17 06:00:00,EO,198,D,3,LED,E90,110,37,
D,2019-05-17 18:55:00,EO,199,D,3,SKX,E90,110,55,
D,2019-05-17 12:20:00,SU,200,I,3,PEK,333,296,156,
A,2019-05-17 22:30:00,EO,200,D,3,SKX,E90,110,68,
A,2019-05-17 06:00:00,SU,201,I,2,PEK,333,296,270,
D,2019-05-17 23:30:00,EO,201,D,3,PEE,E90,110,107,
A,2019-05-17 05:15:00,EO,202,D,3,PEE,E90,110,108,
D,2019-05-17 15:35:00,SU,202,I,3,PEK,333,296,200,
A,2019-05-17 08:55:00,SU,203,I,3,PEK,333,296,168,
D,2019-05-17 21:20:00,SU,204,I,3,PEK,77W,402,332,
D,2019-05-17 04:05:00,N4,205,I,2,SKD,73H,189,119,
A,2019-05-17 14:45:00,SU,205,I,3,PEK,77W,402,357,
D,2019-05-17 09:30:00,SU,206,I,2,PVG,77W,402,235,
A,2019-05-17 14:00:00,N4,206,I,2,SKD,73H,189,180,
A,2019-05-17 05:45:00,SU,207,I,3,PVG,77W,402,388,
D,2019-05-17 20:15:00,EO,207,D,3,LED,73H,189,181,
D,2019-05-17 20:05:00,SU,208,I,2,PVG,77W,402,332,
A,2019-05-17 23:55:00,EO,208,D,3,LED,73H,189,180,
A,2019-05-17 16:20:00,SU,209,I,2,PVG,77W,402,392,
D,2019-05-17 19:20:00,SU,212,I,2,HKG,77W,402,330,
A,2019-05-17 16:40:00,SU,213,I,2,HKG,77W,402,369,
D,2019-05-17 19:10:00,SU,220,I,2,CAN,333,302,218,
A,2019-05-17 16:25:00,SU,221,I,2,CAN,333,302,251,
D,2019-05-17 15:50:00,EO,225,D,3,AER,73H,189,153,
A,2019-05-17 21:45:00,EO,226,D,3,AER,73H,189,146,
D,2019-05-17 07:10:00,EO,227,D,3,VOG,E90,110,48,
A,2019-05-17 11:35:00,EO,228,D,3,VOG,E90,110,66,
D,2019-05-17 08:45:00,EO,229,D,3,AER,73H,189,151,
A,2019-05-17 14:55:00,EO,230,D,3,AER,73H,189,89,
D,2019-05-17 18:50:00,SU,232,I,2,DEL,333,296,142,
A,2019-05-17 14:30:00,SU,233,I,3,DEL,333,296,285,
D,2019-05-17 12:35:00,SU,234,I,3,DEL,333,302,103,
D,2019-05-17 18:10:00,BA,234,I,5,LHR,321,154,100,
A,2019-05-17 07:45:00,SU,235,I,3,DEL,333,302,289,
A,2019-05-17 16:50:00,BA,235,I,5,LHR,321,154,125,
D,2019-05-17 18:35:00,EO,243,D,3,CSY,E90,110,85,
A,2019-05-17 22:00:00,EO,244,D,3,CSY,E90,110,84,
D,2019-05-17 11:40:00,EO,245,D,3,AER,73H,189,123,
A,2019-05-17 17:35:00,EO,246,D,3,AER,73H,189,102,
D,2019-05-17 20:45:00,SU,250,I,3,ICN,77W,402,380,
A,2019-05-17 16:30:00,SU,251,I,3,ICN,77W,402,322,
A,2019-05-17 15:00:00,MU,261,I,2,PVG,333,298,225,
A,2019-05-17 16:05:00,SU,261,I,3,NRT,77W,402,356,
D,2019-05-17 18:00:00,SU,261,I,3,CDG,321,170,137,
A,2019-05-17 16:55:00,SU,262,I,3,LHR,320,140,62,
D,2019-05-17 17:10:00,MU,262,I,2,PVG,333,298,142,
D,2019-05-17 19:00:00,SU,262,I,3,NRT,77W,402,255,
D,2019-05-17 18:35:00,SU,270,I,3,BKK,333,296,160,
A,2019-05-17 17:10:00,SU,271,I,2,BKK,333,296,242,
D,2019-05-17 17:40:00,SU,274,I,3,HKT,333,296,86,
A,2019-05-17 17:50:00,SU,275,I,2,HKT,333,296,207,
D,2019-05-17 19:25:00,SU,290,I,3,HAN,77W,402,182,
A,2019-05-17 16:35:00,SU,291,I,3,HAN,77W,402,331,
D,2019-05-17 20:55:00,EO,301,D,3,BQS,763,290,189,
A,2019-05-17 14:55:00,EO,302,D,3,BQS,763,290,171,
D,2019-05-17 21:35:00,N4,305,D,3,KHV,332,283,179,
A,2019-05-17 11:05:00,N4,306,D,3,KHV,332,283,281,
A,2019-05-17 02:20:00,N4,316,D,3,AER,73H,189,84,
